  SEAMLESS             01/05/25 06:00:01 al 19/06/25 14:39:34

   Artículo              Unidades          Docenas             En producción

04891 T.2 CG                133              11.1                   NO

04891 T.3 CG                257              21.4                   NO

04893 T.1 CG                137              11.4                   NO

04893 T.2 CG                729              60.8                   NO

04893 T.4 CG                244              20.3                   NO

04893 PA CC                 182              15.2                   NO

 05007 T.4 C$               620              51.7                 SI: 1031

05007 T.6 C%                364              30.3                   NO

05007 PA CC                 100               8.3                   NO

05172 T.3 CG                257              21.4                   NO

05172 T.4 CG                122              10.2                   NO

05173 T.1 CG                124              10.3                   NO

05173 T.3 CG                122              10.2                   NO

05173 T.4 CG                122              10.2                   NO

05222 T.1 NG                388              32.3                   NO

05222 T.2 NG                388              32.3                   NO

05222 T.3 NG                389              32.4                   NO

05222 T.4 NG                388              32.3                   NO

05233 T.2 NG                238              19.8                   NO

05233 T.4 NG                131              10.9                   NO

 05320 T.2 C#               416              34.7                   NO

 05320 T.4 C#               414              34.5                   NO

 05394 T.2 C#               472              39.3                   NO

 05449 T.4 C#               244              20.3                   NO

05449 T.4 M#                184              15.3                   NO

 05449 T.6 C#               364              30.3                   NO

05449 T.6 M#                124              10.3                   NO

05533 T.2 CC                244              20.3                   NO

05533 T.4 CC                245              20.4                   NO


   Artículo              Unidades          Docenas             En producción

 05537 T.6 C#               366              30.5                   NO

 05538 T.6 C#               382              31.8                   NO

 05539 T.6 C#               384              32.0                   NO

05653 T.2 CC                245              20.4                   NO

05653 T.3 CC                251              20.9                   NO

05653 T.4 CC                246              20.5                   NO

05653 T.5 CC                244              20.3                   NO

05653 T.6 CC                244              20.3                   NO

 05655 T.2 C#               730              60.8                   NO

 05655 T.6 C#               244              20.3                   NO

05718 T.2 CC                660              55.0                   NO

05718 T.4 CC               1541              128.4                  NO

05757 T.1 CC                388              32.3                   NO

05757 T.2 CC                497              41.4                   NO

05757 T.3 CC                492              41.0                   NO

05757 T.4 CC                394              32.8                   NO

 06119 T.4 C#               150              12.5                   NO

 06121 T.2 C#               320              26.7                   NO

 06121 T.4 C#               124              10.3                   NO

 06123 T.2 C#               244              20.3                   NO

 06123 T.4 C#               244              20.3                   NO

06159 T.2 CB                194              16.2                   NO

06159 T.2 CN                193              16.1                   NO

06159 T.4 CB                186              15.5                   NO

06159 T.4 CN                192              16.0                   NO

 06161 T.2 B#               206              17.2                   NO

 06161 T.2 N#               336              28.0                   NO

 06161 T.4 B#               158              13.2                   NO

 06161 T.4 N#               256              21.3                   NO

 06163 T.2 B#               254              21.2                   NO


   Artículo              Unidades          Docenas             En producción

 06163 T.2 N#               240              20.0                   NO

 06163 T.4 B#               256              21.3                   NO

 06163 T.4 N#               252              21.0                   NO

06328 T.2 CC                 62               5.2                   NO

06328 T.4 CC                 62               5.2                   NO

06328 T.6 CC                122              10.2                   NO

 06329 T.2 C#               364              30.3                   NO

 06329 T.4 C#               244              20.3                   NO

 06329 T.6 C#               366              30.5                   NO

 06333 T.2 C#               184              15.3                   NO

 06343 T.2 C#               304              25.3                   NO

 06343 T.4 C#               304              25.3                   NO

06345 T.1 CC                 68               5.7                   NO

06345 T.3 CC                 65               5.4                   NO

 06346 T.2 C#               260              21.7                   NO

 06346 T.4 C#               268              22.3                   NO

 06347 T.2 C#               252              21.0                   NO

 06347 T.4 C#               244              20.3                   NO

 06348 T.2 C#               148              12.3                   NO

 06348 T.4 C#               206              17.2                   NO

 06349 T.2 C#               548              45.7                   NO

 06349 T.4 C#               548              45.7                   NO

 06351 T.2 C#               304              25.3                   NO

 06351 T.4 C#               488              40.7                   NO

 06787 T.2 C#               488              40.7                   NO

 06787 T.4 C#               488              40.7                   NO

 06791 T.2 C#              5410              450.8                  NO

 06791 T.4 C#              5352              446.0                  NO

 06793 T.2 C#              4364              363.7                  NO

 06793 T.4 C#              3276              273.0                  NO


   Artículo              Unidades          Docenas             En producción

 06795 T.2 C#              1944              162.0                  NO

 06795 T.4 C#              3640              303.3                  NO

06797 T.5 CM                122              10.2                   NO

06797 T.5 M#                124              10.3                   NO

06797 T.6 CM                 62               5.2                   NO

06797 T.6 M#                 2                0.2                   NO

07500 T.2 CC                190              15.8                   NO

07500 T.3 CC                217              18.1                   NO

07500 T.4 CC                185              15.4                   NO

07501 T.2 CC                305              25.4                   NO

07501 T.4 CC                372              31.0                   NO

07503 T.2 CC                182              15.2                   NO

07503 T.3 CC                426              35.5                   NO

